АЛРОСА,Газпром,ЛУКОЙЛ,Магнит,Роснефть,Сбер Банк,Совкомфлот,Сургутнефтегаз - привилегированные,ВИМ - Ликвидность
"70,92₽","161,5₽",7140₽,6170₽,"564,7₽","265,16₽","122,02₽","55,45₽","1,3095₽"
"70,92₽","161,5₽",7140₽,6170₽,"564,7₽","265,16₽","122,02₽","55,45₽","1,3095₽"
"70,92₽","161,5₽",7140₽,6170₽,"564,7₽","265,16₽","122,02₽","55,45₽","1,3095₽"
"70,92₽","161,5₽",7140₽,6170₽,"564,7₽","265,16₽","122,02₽","55,45₽","1,3095₽",10 12 23 40 Sunday
"70,92₽","161,5₽",7140₽,6170₽,"564,7₽","265,16₽","122,02₽","55,45₽","1,3095₽",10 12 23 40 Sunday
"70,92₽","161,5₽",7140₽,6170₽,"564,7₽","265,16₽","122,02₽","55,45₽","1,3095₽",10 12 23 40 Sunday
"70,92₽","161,5₽",7140₽,6170₽,"564,7₽","265,16₽","122,02₽","55,45₽","1,3095₽",10 12 23 40 Sunday
"70,92₽","161,5₽",7140₽,6170₽,"564,7₽","265,16₽","122,02₽","55,45₽","1,3095₽",10 12 23 40 Sunday
"70,92₽","161,5₽",7140₽,6170₽,"564,7₽","265,16₽","122,02₽","55,45₽","1,3095₽",10 12 23 40 Sunday
"70,92₽","161,5₽",7140₽,6170₽,"564,7₽","265,16₽","122,02₽","55,45₽","1,3095₽",10 12 23 41 Sunday
"70,92₽","161,5₽",7140₽,6170₽,"564,7₽","265,16₽","122,02₽","55,45₽","1,3095₽",10 12 23 41 Sunday
"70,92₽","161,5₽",7140₽,6170₽,"564,7₽","265,16₽","122,02₽","55,45₽","1,3095₽",10 12 23 41 Sunday
"70,92₽","161,5₽",7140₽,6170₽,"564,7₽","265,16₽","122,02₽","55,45₽","1,3095₽",10 12 23 41 Sunday
"70,92₽","161,5₽",7140₽,6170₽,"564,7₽","265,16₽","122,02₽","55,45₽","1,3095₽",10/12/23:41|Sunday
"70,92₽","161,5₽",7140₽,6170₽,"564,7₽","265,16₽","122,02₽","55,45₽","1,3095₽",10/12/23:41|Sunday
"70,92₽","161,5₽",7140₽,6170₽,"564,7₽","265,16₽","122,02₽","55,45₽","1,3095₽",10/12/23:41|Sunday
"70,92₽","161,5₽",7140₽,6170₽,"564,7₽","265,16₽","122,02₽","55,45₽","1,3095₽",10/12/23:41|Sunday
"70,92₽","161,5₽",7140₽,6170₽,"564,7₽","265,16₽","122,02₽","55,45₽","1,3095₽",10/12/23:41|Sunday
"70,92₽","161,5₽",7140₽,6170₽,"564,7₽","265,16₽","122,02₽","55,45₽","1,3095₽",10/12/23:41|Sunday
"70,92₽","161,5₽",7140₽,6170₽,"564,7₽","265,16₽","122,02₽","55,45₽","1,3095₽",10/12/23:41|Sunday
"70,92₽","161,5₽",7140₽,6170₽,"564,7₽","265,16₽","122,02₽","55,45₽","1,3095₽",10/12/23:42|Sunday
"70,92₽","161,5₽",7140₽,6170₽,"564,7₽","265,16₽","122,02₽","55,45₽","1,3095₽",10/12/23:42|Sunday
"70,92₽","161,5₽",7140₽,6170₽,"564,7₽","265,16₽","122,02₽","55,45₽","1,3095₽",10/12/23:42|Sunday
